date,supplier_id,product_id,planned_arrival,actual_arrival,lead_time_hours,cost_eur,quantity
2024-01-04,5,10,2024-01-04 12:00:00,2024-01-04 12:00:00,0.0,177.76,9
2024-01-07,4,7,2024-01-07 13:00:00,2024-01-07 13:00:00,0.0,343.28,30
2024-01-11,5,6,2024-01-11 12:00:00,2024-01-11 13:00:00,1.0,166.43,10
2024-01-24,1,10,2024-01-24 10:00:00,2024-01-24 14:00:00,4.0,172.98,35
2024-01-18,1,2,2024-01-18 08:00:00,2024-01-18 10:00:00,2.0,79.86,22
2024-01-20,5,7,2024-01-20 14:00:00,2024-01-20 14:00:00,0.0,498.0,35
2024-01-11,1,9,2024-01-11 10:00:00,2024-01-11 11:00:00,1.0,194.08,48
2024-01-08,4,5,2024-01-08 13:00:00,2024-01-08 14:00:00,1.0,182.76,34
2024-01-01,3,5,2024-01-01 15:00:00,2024-01-01 17:00:00,2.0,329.36,18
2024-01-19,2,4,2024-01-19 12:00:00,2024-01-19 16:00:00,4.0,342.76,16
2024-01-19,5,3,2024-01-19 10:00:00,2024-01-19 14:00:00,4.0,398.9,15
2024-01-11,3,2,2024-01-11 12:00:00,2024-01-11 13:00:00,1.0,393.8,35
2024-01-02,5,5,2024-01-02 13:00:00,2024-01-02 14:00:00,1.0,168.67,18
2024-01-10,3,5,2024-01-10 13:00:00,2024-01-10 17:00:00,4.0,187.6,22
2024-01-06,1,8,2024-01-06 10:00:00,2024-01-06 14:00:00,4.0,486.11,4
2024-01-28,4,1,2024-01-28 10:00:00,2024-01-28 12:00:00,2.0,122.54,4
2024-01-15,2,7,2024-01-15 09:00:00,2024-01-15 09:00:00,0.0,261.28,25
2024-01-12,5,3,2024-01-12 09:00:00,2024-01-12 11:00:00,2.0,361.07,6
2024-01-02,2,5,2024-01-02 09:00:00,2024-01-02 10:00:00,1.0,195.46,40
2024-01-26,3,3,2024-01-26 08:00:00,2024-01-26 09:00:00,1.0,245.95,24
2024-01-20,3,3,2024-01-20 10:00:00,2024-01-20 14:00:00,4.0,471.97,25
2024-01-19,1,1,2024-01-19 14:00:00,2024-01-19 14:00:00,0.0,165.71,4
2024-01-03,3,9,2024-01-03 11:00:00,2024-01-03 11:00:00,0.0,430.17,31
2024-01-24,1,8,2024-01-24 11:00:00,2024-01-24 13:00:00,2.0,349.26,6
2024-01-17,2,9,2024-01-17 15:00:00,2024-01-17 17:00:00,2.0,174.44,12
2024-01-03,2,5,2024-01-03 08:00:00,2024-01-03 09:00:00,1.0,359.07,19
2024-01-14,4,10,2024-01-14 13:00:00,2024-01-14 13:00:00,0.0,252.43,38
2024-01-05,4,9,2024-01-05 12:00:00,2024-01-05 12:00:00,0.0,164.06,7
2024-01-17,2,7,2024-01-17 15:00:00,2024-01-17 15:00:00,0.0,136.58,49
2024-01-01,3,3,2024-01-01 09:00:00,2024-01-01 09:00:00,0.0,370.82,23
2024-01-15,3,3,2024-01-15 14:00:00,2024-01-15 16:00:00,2.0,195.8,30
2024-01-12,3,10,2024-01-12 12:00:00,2024-01-12 13:00:00,1.0,176.15,40
2024-01-15,1,2,2024-01-15 10:00:00,2024-01-15 10:00:00,0.0,169.4,48
2024-01-19,2,6,2024-01-19 10:00:00,2024-01-19 12:00:00,2.0,487.33,34
2024-01-30,3,4,2024-01-30 15:00:00,2024-01-30 19:00:00,4.0,195.58,2
2024-01-28,3,3,2024-01-28 13:00:00,2024-01-28 13:00:00,0.0,63.34,19
2024-01-27,3,3,2024-01-27 09:00:00,2024-01-27 13:00:00,4.0,217.36,39
2024-01-01,3,7,2024-01-01 11:00:00,2024-01-01 15:00:00,4.0,85.39,37
2024-01-02,2,3,2024-01-02 08:00:00,2024-01-02 08:00:00,0.0,234.11,33
2024-01-26,5,5,2024-01-26 08:00:00,2024-01-26 09:00:00,1.0,276.33,29
2024-01-24,2,9,2024-01-24 14:00:00,2024-01-24 14:00:00,0.0,487.16,28
2024-01-01,3,5,2024-01-01 15:00:00,2024-01-01 15:00:00,0.0,230.04,3
2024-01-24,4,6,2024-01-24 12:00:00,2024-01-24 12:00:00,0.0,153.86,31
2024-01-18,2,3,2024-01-18 13:00:00,2024-01-18 13:00:00,0.0,114.05,10
2024-01-24,5,7,2024-01-24 15:00:00,2024-01-24 15:00:00,0.0,473.18,10
2024-01-21,4,2,2024-01-21 13:00:00,2024-01-21 15:00:00,2.0,493.53,43
2024-01-23,4,4,2024-01-23 09:00:00,2024-01-23 10:00:00,1.0,455.68,24
2024-01-05,4,8,2024-01-05 09:00:00,2024-01-05 09:00:00,0.0,259.85,3
2024-01-16,1,3,2024-01-16 12:00:00,2024-01-16 16:00:00,4.0,221.61,14
2024-01-25,5,2,2024-01-25 15:00:00,2024-01-25 19:00:00,4.0,262.53,9
